date,count
2016-11-24,10
2016-11-25,2
2016-11-26,5
2016-11-27,5
2016-11-28,10
2016-11-29,4
2016-11-30,5
2016-12-01,6
2016-12-02,2
2016-12-03,1
2016-12-04,3
2016-12-05,11
2016-12-06,12
2016-12-07,4
2016-12-08,7
2016-12-09,6
2016-12-10,2
2016-12-11,1
2016-12-12,32
2016-12-13,2128
2016-12-14,3052
2016-12-15,2227
2016-12-16,835
2016-12-17,72
2016-12-18,5
2016-12-19,13
2016-12-20,12
2016-12-21,9
2016-12-22,9
2016-12-28,2
2016-12-30,932
2016-12-31,1909
2017-01-02,2614
2017-01-03,2268
2017-01-04,1090
2017-01-05,1343
2017-01-06,707
2017-01-07,326
2017-01-08,188
2017-01-09,161
2017-01-10,13
2017-01-11,250
2017-01-12,1207
2017-01-13,362
2017-01-14,2
2017-01-16,9
2017-01-17,5
2017-01-18,18
2017-01-19,17
2017-01-20,10
2017-01-21,7
2017-01-22,2
2017-01-23,23
2017-01-24,6
2017-01-25,18
2017-01-26,12
2017-01-27,3
2017-01-28,4
2017-01-29,4
2017-01-30,9
2017-01-31,9
2017-02-01,126
2017-02-02,1118
2017-02-03,883
2017-02-04,599
2017-02-05,238
2017-02-06,262
2017-02-07,21
2017-02-08,943
2017-02-09,2724
2017-02-10,2422
2017-02-11,1206
2017-02-12,230
2017-02-13,721
2017-02-14,1502
2017-02-15,912
2017-02-16,1191
2017-02-17,983
2017-02-18,871
2017-02-19,873
2017-02-20,443
2017-02-21,68
2017-02-22,3
2017-02-23,6
2017-02-24,7
2017-02-25,3
2017-02-26,7
2017-02-27,4
2017-02-28,4
2017-03-01,2
2017-03-02,4
2017-03-03,4
2017-03-04,8
2017-03-05,1
2017-03-06,3
2017-03-07,1
2017-03-08,3
2017-03-09,4
2017-03-10,4
2017-03-12,3
2017-03-13,3
2017-03-14,12
2017-03-15,335
2017-03-16,835
2017-03-17,1105
2017-03-18,1387
2017-03-19,1100
2017-03-20,1005
2017-03-21,336
2017-03-22,36
2017-03-23,1
2017-03-24,9
2017-03-25,6
2017-03-26,22
2017-03-27,7
2017-03-28,6
2017-03-29,12
2017-03-30,9
2017-03-31,2
2017-04-01,1
2017-04-02,7
2017-04-03,6
2017-04-04,7
2017-04-05,6
2017-04-06,13
2017-04-07,13
2017-04-08,5
2017-04-09,7
2017-04-10,6
2017-04-11,13
2017-04-12,8
2017-04-13,11
2017-04-15,10
2017-04-18,5
2017-04-19,11
2017-04-20,11
2017-04-21,2
2017-04-22,4
2017-04-23,3
2017-04-24,2
2017-04-25,3
2017-04-26,9
2017-04-27,4
2017-04-28,4
2017-04-29,11
2017-04-30,1
2017-05-01,2
2017-05-02,7
2017-05-03,10
2017-05-04,7
2017-05-05,6
2017-05-06,5
2017-05-07,4
2017-05-08,12
2017-05-09,11
2017-05-10,1
2017-05-11,7
2017-05-12,5
2017-05-13,4
2017-05-14,2
2017-05-15,3
2017-05-16,8
2017-05-17,23
2017-05-18,10
2017-05-19,21
2017-05-20,42
2017-05-21,12
2017-05-23,9
2017-05-24,5
2017-05-25,7
2017-05-26,9
2017-05-27,4
2017-05-28,13
2017-05-29,9
2017-05-30,9
2017-05-31,9
2017-06-01,16
2017-06-02,56
2017-06-03,3
2017-06-04,126
2017-06-05,4
2017-06-06,12
2017-06-07,16
2017-06-08,32
2017-06-09,13
2017-06-10,2
2017-06-11,24
2017-06-12,7
2017-06-13,12
2017-06-14,6
2017-06-15,10
2017-06-16,6
2017-06-17,5
2017-06-18,1
2017-06-19,6
2017-06-20,14
2017-06-21,9
2017-06-22,26
2017-06-23,9
2017-06-24,12
2017-06-25,8
2017-06-27,8
2017-06-28,6
2017-06-29,10
2017-06-30,5
2017-07-01,12
2017-07-02,11
2017-07-04,14
2017-07-05,8
2017-07-06,12
2017-07-07,21
2017-07-08,14
2017-07-09,8
2017-07-10,2
2017-07-11,8
2017-07-12,7
2017-07-13,13
2017-07-14,10
2017-07-15,2
2017-07-16,2
2017-07-17,6
2017-07-18,13
2017-07-19,15
2017-07-20,14
2017-07-21,7
2017-07-22,1
2017-07-24,5
2017-07-25,15
2017-07-26,22
2017-07-27,23
2017-07-28,1
2017-07-29,5
2017-07-30,4
2017-07-31,7
2017-08-01,8
2017-08-02,6
2017-08-03,8
2017-08-04,20
